Date, Open, High, Low, Close,0
2017-04-20,147.28,147.28,147.28,147.28,0
2017-04-19,147.23,147.23,147.23,147.23,0
2017-04-18,148.28,148.28,148.28,148.28,0
2017-04-13,148.42,148.42,148.42,148.42,0
2017-04-12,148.21,148.21,148.21,148.21,0
2017-04-11,148.21,148.21,148.21,148.21,0
2017-04-10,148.1,148.1,148.1,148.1,0
2017-04-07,148.28,148.28,148.28,148.28,0
2017-04-06,147.99,147.99,147.99,147.99,0
2017-04-05,148,148,148,148,0
2017-04-04,148.25,148.25,148.25,148.25,0
2017-04-03,148.26,148.26,148.26,148.26,0
2017-03-31,150.83,150.83,150.83,150.83,0
2017-03-30,150.96,150.96,150.96,150.96,0
2017-03-29,150.89,150.89,150.89,150.89,0
2017-03-28,150.79,150.79,150.79,150.79,0
2017-03-27,150.89,150.89,150.89,150.89,0
2017-03-24,150.72,150.72,150.72,150.72,0
2017-03-23,150.5,150.5,150.5,150.5,0
2017-03-22,150.71,150.71,150.71,150.71,0
2017-03-21,150.47,150.47,150.47,150.47,0
2017-03-20,150.48,150.48,150.48,150.48,0
2017-03-17,150.49,150.49,150.49,150.49,0
2017-03-16,150.49,150.49,150.49,150.49,0
2017-03-15,150.12,150.12,150.12,150.12,0
2017-03-14,150.07,150.07,150.07,150.07,0
2017-03-13,150.43,150.43,150.43,150.43,0
2017-03-10,150.2,150.2,150.2,150.2,0
2017-03-09,150.34,150.34,150.34,150.34,0
2017-03-08,150.54,150.54,150.54,150.54,0
2017-03-07,151,151,151,151,0
2017-03-06,151.19,151.19,151.19,151.19,0
2017-03-03,151.05,151.05,151.05,151.05,0
2017-03-02,150.99,150.99,150.99,150.99,0
2017-03-01,150.6,150.6,150.6,150.6,0
2017-02-28,150.81,150.81,150.81,150.81,0
2017-02-27,150.78,150.78,150.78,150.78,0
2017-02-24,150.8,150.8,150.8,150.8,0
2017-02-23,150.73,150.73,150.73,150.73,0
2017-02-22,150.69,150.69,150.69,150.69,0
2017-02-21,150.27,150.27,150.27,150.27,0
2017-02-20,150.35,150.35,150.35,150.35,0
2017-02-17,150.43,150.43,150.43,150.43,0
2017-02-16,150.4,150.4,150.4,150.4,0
2017-02-15,150.22,150.22,150.22,150.22,0
2017-02-14,150.08,150.08,150.08,150.08,0
2017-02-13,149.94,149.94,149.94,149.94,0
2017-02-10,149.81,149.81,149.81,149.81,0
2017-02-09,149.67,149.67,149.67,149.67,0
2017-02-08,150.01,150.01,150.01,150.01,0
2017-02-07,149.91,149.91,149.91,149.91,0
2017-02-06,150.1,150.1,150.1,150.1,0
2017-02-03,149.66,149.66,149.66,149.66,0
2017-02-02,149.7,149.7,149.7,149.7,0
2017-02-01,149.53,149.53,149.53,149.53,0
2017-01-31,149.66,149.66,149.66,149.66,0
2017-01-30,149.94,149.94,149.94,149.94,0
2017-01-27,149.87,149.87,149.87,149.87,0
2017-01-26,149.86,149.86,149.86,149.86,0
2017-01-25,149.75,149.75,149.75,149.75,0
2017-01-24,149.74,149.74,149.74,149.74,0
2017-01-23,149.82,149.82,149.82,149.82,0
2017-01-20,149.57,149.57,149.57,149.57,0
2017-01-19,149.66,149.66,149.66,149.66,0
2017-01-18,149.82,149.82,149.82,149.82,0
2017-01-17,150.12,150.12,150.12,150.12,0
2017-01-16,149.95,149.95,149.95,149.95,0
2017-01-13,149.76,149.76,149.76,149.76,0
2017-01-12,149.86,149.86,149.86,149.86,0
